id,source_type,document_title,subject,chapter_title,section_heading,subtopic,chunk_index,chunk_text,target_summary,overall_summary_hint,key_points,summary_style,difficulty_level,exam_priority,quality_label,notes
1,pdf_chunk,Computer Science Study Notes 1,Computer Science,Operating Systems,Operating Systems,Process Management,1,"Operating Systems. Students often confuse multitasking with multiprocessing, even though they describe different ideas. Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. A short classroom example or revision note may focus on process management within this topic.","Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. Students often confuse multitasking with multiprocessing, even though they describe different ideas.","Operating Systems contains core ideas, functions, examples, and common exam-ready points.","Operating systems coordinate hardware and software resources so programs can run correctly. | They manage CPU time, memory allocation, files, and input-output devices. | Process Management is an important part of operating systems. | Students should remember both the definition and the main effect or function.",plain,easy,high,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
2,pdf_chunk,Computer Science Study Notes 2,Computer Science,Operating Systems,Operating Systems,Memory Management,2,"Operating Systems. Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. Scheduling choices can improve responsiveness but may also increase waiting time for some tasks. A short classroom example or revision note may focus on memory management within this topic.","Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. Students often confuse multitasking with multiprocessing, even though they describe different ideas.","Operating Systems contains core ideas, functions, examples, and common exam-ready points.","Operating systems coordinate hardware and software resources so programs can run correctly. | They manage CPU time, memory allocation, files, and input-output devices. | Memory Management is an important part of operating systems. | Students should remember both the definition and the main effect or function.",study_friendly,medium,medium,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
3,pdf_chunk,Computer Science Study Notes 3,Computer Science,Operating Systems,Operating Systems,File Handling,3,"Operating Systems. Scheduling choices can improve responsiveness but may also increase waiting time for some tasks. They manage CPU time, memory allocation, files, and input-output devices. Operating systems coordinate hardware and software resources so programs can run correctly. A short classroom example or revision note may focus on file handling within this topic.","Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. Students often confuse multitasking with multiprocessing, even though they describe different ideas.","Operating Systems contains core ideas, functions, examples, and common exam-ready points.","Operating systems coordinate hardware and software resources so programs can run correctly. | They manage CPU time, memory allocation, files, and input-output devices. | File Handling is an important part of operating systems. | Students should remember both the definition and the main effect or function.",exam_focused,hard,high,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
4,pdf_chunk,Computer Science Study Notes 4,Computer Science,Operating Systems,Operating Systems,Device Control,4,"Operating Systems. Scheduling choices can improve responsiveness but may also increase waiting time for some tasks. Operating systems coordinate hardware and software resources so programs can run correctly. Students often confuse multitasking with multiprocessing, even though they describe different ideas. A short classroom example or revision note may focus on device control within this topic.","Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. A key point to remember is device control, because it often appears in short-answer questions.","Operating Systems contains core ideas, functions, examples, and common exam-ready points.","Operating systems coordinate hardware and software resources so programs can run correctly. | They manage CPU time, memory allocation, files, and input-output devices. | Device Control is an important part of operating systems. | Students should remember both the definition and the main effect or function.",concise,easy,low,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
5,pdf_chunk,Computer Science Study Notes 5,Computer Science,Operating Systems,Operating Systems,Process Management,1,"Operating Systems. Operating systems coordinate hardware and software resources so programs can run correctly. Students often confuse multitasking with multiprocessing, even though they describe different ideas. They manage CPU time, memory allocation, files, and input-output devices. A short classroom example or revision note may focus on process management within this topic.","Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. A key point to remember is process management, because it often appears in short-answer questions.","Operating Systems contains core ideas, functions, examples, and common exam-ready points.","Operating systems coordinate hardware and software resources so programs can run correctly. | They manage CPU time, memory allocation, files, and input-output devices. | Process Management is an important part of operating systems. | Students should remember both the definition and the main effect or function.",conceptual,medium,high,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
6,pdf_chunk,Computer Science Study Notes 1,Computer Science,Operating Systems,Operating Systems,Memory Management,2,"Operating Systems. Operating systems coordinate hardware and software resources so programs can run correctly. Students often confuse multitasking with multiprocessing, even though they describe different ideas. Scheduling choices can improve responsiveness but may also increase waiting time for some tasks. A short classroom example or revision note may focus on memory management within this topic.","Operating systems coordinate hardware and software resources so programs can run correctly. They manage CPU time, memory allocation, files, and input-output devices. Students often confuse multitasking with multiprocessing, even though they describe different ideas.","Operating Systems contains core ideas, functions, examples, and common exam-ready points.","Operating systems coordinate hardware and software resources so programs can run correctly. | They manage CPU time, memory allocation, files, and input-output devices. | Memory Management is an important part of operating systems. | Students should remember both the definition and the main effect or function.",plain,hard,medium,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
7,pdf_chunk,Computer Science Study Notes 2,Computer Science,CPU Scheduling,CPU Scheduling,FCFS,1,CPU Scheduling. CPU scheduling decides which process uses the processor at a given moment. SJF reduces average waiting time but needs information about burst length. FCFS is simple but can produce long waiting times when a large job arrives first. A short classroom example or revision note may focus on fcfs within this topic.,CPU scheduling decides which process uses the processor at a given moment. FCFS is simple but can produce long waiting times when a large job arrives first. SJF reduces average waiting time but needs information about burst length.,"CPU Scheduling contains core ideas, functions, examples, and common exam-ready points.",CPU scheduling decides which process uses the processor at a given moment. | FCFS is simple but can produce long waiting times when a large job arrives first. | FCFS is an important part of cpu scheduling. | Students should remember both the definition and the main effect or function.,study_friendly,easy,high,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
8,pdf_chunk,Computer Science Study Notes 3,Computer Science,CPU Scheduling,CPU Scheduling,SJF,2,CPU Scheduling. FCFS is simple but can produce long waiting times when a large job arrives first. Round Robin improves fairness by giving each process a time slice. CPU scheduling decides which process uses the processor at a given moment. A short classroom example or revision note may focus on sjf within this topic.,"CPU scheduling decides which process uses the processor at a given moment. FCFS is simple but can produce long waiting times when a large job arrives first. A key point to remember is sjf, because it often appears in short-answer questions.","CPU Scheduling contains core ideas, functions, examples, and common exam-ready points.",CPU scheduling decides which process uses the processor at a given moment. | FCFS is simple but can produce long waiting times when a large job arrives first. | SJF is an important part of cpu scheduling. | Students should remember both the definition and the main effect or function.,exam_focused,medium,low,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
9,pdf_chunk,Computer Science Study Notes 4,Computer Science,CPU Scheduling,CPU Scheduling,Round Robin,3,CPU Scheduling. FCFS is simple but can produce long waiting times when a large job arrives first. Round Robin improves fairness by giving each process a time slice. SJF reduces average waiting time but needs information about burst length. A short classroom example or revision note may focus on round robin within this topic.,CPU scheduling decides which process uses the processor at a given moment. FCFS is simple but can produce long waiting times when a large job arrives first. SJF reduces average waiting time but needs information about burst length.,"CPU Scheduling contains core ideas, functions, examples, and common exam-ready points.",CPU scheduling decides which process uses the processor at a given moment. | FCFS is simple but can produce long waiting times when a large job arrives first. | Round Robin is an important part of cpu scheduling. | Students should remember both the definition and the main effect or function.,concise,hard,high,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
10,pdf_chunk,Computer Science Study Notes 5,Computer Science,CPU Scheduling,CPU Scheduling,Waiting Time,4,CPU Scheduling. Round Robin improves fairness by giving each process a time slice. FCFS is simple but can produce long waiting times when a large job arrives first. SJF reduces average waiting time but needs information about burst length. A short classroom example or revision note may focus on waiting time within this topic.,"CPU scheduling decides which process uses the processor at a given moment. FCFS is simple but can produce long waiting times when a large job arrives first. A key point to remember is waiting time, because it often appears in short-answer questions.","CPU Scheduling contains core ideas, functions, examples, and common exam-ready points.",CPU scheduling decides which process uses the processor at a given moment. | FCFS is simple but can produce long waiting times when a large job arrives first. | Waiting Time is an important part of cpu scheduling. | Students should remember both the definition and the main effect or function.,conceptual,easy,medium,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
11,pdf_chunk,Computer Science Study Notes 1,Computer Science,CPU Scheduling,CPU Scheduling,FCFS,1,CPU Scheduling. FCFS is simple but can produce long waiting times when a large job arrives first. CPU scheduling decides which process uses the processor at a given moment. Round Robin improves fairness by giving each process a time slice. A short classroom example or revision note may focus on fcfs within this topic.,"CPU scheduling decides which process uses the processor at a given moment. FCFS is simple but can produce long waiting times when a large job arrives first. A key point to remember is fcfs, because it often appears in short-answer questions.","CPU Scheduling contains core ideas, functions, examples, and common exam-ready points.",CPU scheduling decides which process uses the processor at a given moment. | FCFS is simple but can produce long waiting times when a large job arrives first. | FCFS is an important part of cpu scheduling. | Students should remember both the definition and the main effect or function.,plain,medium,high,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
12,pdf_chunk,Computer Science Study Notes 2,Computer Science,CPU Scheduling,CPU Scheduling,SJF,2,CPU Scheduling. Round Robin improves fairness by giving each process a time slice. FCFS is simple but can produce long waiting times when a large job arrives first. CPU scheduling decides which process uses the processor at a given moment. A short classroom example or revision note may focus on sjf within this topic.,"CPU scheduling decides which process uses the processor at a given moment. FCFS is simple but can produce long waiting times when a large job arrives first. A key point to remember is sjf, because it often appears in short-answer questions.","CPU Scheduling contains core ideas, functions, examples, and common exam-ready points.",CPU scheduling decides which process uses the processor at a given moment. | FCFS is simple but can produce long waiting times when a large job arrives first. | SJF is an important part of cpu scheduling. | Students should remember both the definition and the main effect or function.,study_friendly,hard,low,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
13,pdf_chunk,Computer Science Study Notes 3,Computer Science,Memory Management,Memory Management,Paging,1,Memory Management. Paging divides memory into fixed-size blocks and reduces external fragmentation. Virtual memory allows a system to run programs larger than physical memory. Memory management keeps track of data and programs loaded in main memory. A short classroom example or revision note may focus on paging within this topic.,"Memory management keeps track of data and programs loaded in main memory. Paging divides memory into fixed-size blocks and reduces external fragmentation. Segmentation organizes memory by logical units such as code, stack, or data.","Memory Management contains core ideas, functions, examples, and common exam-ready points.",Memory management keeps track of data and programs loaded in main memory. | Paging divides memory into fixed-size blocks and reduces external fragmentation. | Paging is an important part of memory management. | Students should remember both the definition and the main effect or function.,exam_focused,easy,high,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
14,pdf_chunk,Computer Science Study Notes 4,Computer Science,Memory Management,Memory Management,Segmentation,2,"Memory Management. Memory management keeps track of data and programs loaded in main memory. Segmentation organizes memory by logical units such as code, stack, or data. Paging divides memory into fixed-size blocks and reduces external fragmentation. A short classroom example or revision note may focus on segmentation within this topic.","Memory management keeps track of data and programs loaded in main memory. Paging divides memory into fixed-size blocks and reduces external fragmentation. A key point to remember is segmentation, because it often appears in short-answer questions.","Memory Management contains core ideas, functions, examples, and common exam-ready points.",Memory management keeps track of data and programs loaded in main memory. | Paging divides memory into fixed-size blocks and reduces external fragmentation. | Segmentation is an important part of memory management. | Students should remember both the definition and the main effect or function.,concise,medium,medium,good,Natural declarative summaries for summarizer fine-tuning; avoids 'understand' and 'explains' style.
