id,source_type,document_title,subject,chapter_title,section_heading,chunk_index,chunk_text,topic_label,subtopic_label,section_type,topic_priority,quality_label,notes
1,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,1,"A computer is an electronic machine, devised for performing calculations and controlling operations that can be expressed either in logical or numerical terms",Introduction To Computer,Definition,definition,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
2,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,1,Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made with unerring accuracy for comparatively little cost,Introduction To Computer,Applications,applications,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
3,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,1,"Computer process data at an extremely fast rate - millions of instructions per second in few seconds, a computer can perform a huge task that a normal human being may take days or even years to complete",Characteristics Of Computer,Speed,characteristics,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
4,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,1,"Besides efficiency, computer are accurate as well The level of accuracy depends an the instructions and the type of machine being used",Characteristics Of Computer,Accuracy,characteristics,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
5,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,1,Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration,Characteristics Of Computer,Diligence,characteristics,medium,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
6,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,1,"Reliability is the measurement of performance of a computer, which is measured against some predetermined standard for operation without any failure",Characteristics Of Computer,Reliability,characteristics,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
7,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,1,"The main memory of the computer is relatively small and it can hold only a certain amount of information, therefore, the data is stored on secondary storage devices such as magnetic tape or disks",Characteristics Of Computer,Storage capability,characteristics,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
8,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,1,"For example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this work is possible by changing the program",Characteristics Of Computer,Versatility,applications,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
9,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,1,"Apart from device sharing data and information can also be shared among group of computers, thus creating a large information and knowledge base",Characteristics Of Computer,Resource sharing,characteristics,high,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
10,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Evolution Of Computers,1,"The real beginnings of computers as we know them today, however, lay with an English mathematics professor, Charles Babbage",Evolution Of Computers,,history_evolution,low,good,Natural extraction target grounded in the uploaded FOCP PDF and aligned to the topic/subtopic flow.
