id,source_type,document_title,subject,chapter_title,section_heading,subtopic,chunk_index,chunk_text,question,option_a,option_b,option_c,correct_option,correct_answer_text,explanation,difficulty_level,exam_priority,quality_label,notes
1,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,Definition,1,"A computer is an electronic machine, devised for performing calculations and controlling operations that can be expressed either in logical or numerical terms",Which statement best describes Introduction To Computer?,"A computer is an electronic machine, devised for performing calculations and controlling operations that can be expressed either in logical or numerical terms.",Type the word Invoice in the Find what text box. Type the word Sales in the Replace with text box.,(b) Global declaration This section declares some variables that are used in more than one function.,A,"A computer is an electronic machine, devised for performing calculations and controlling operations that can be expressed either in logical or numerical terms.","The correct answer is supported by the chunk on Introduction To Computer, which states that a computer is an electronic machine, devised for performing calculations and controlling operations that can be expressed either in logical or numerical terms.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
2,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,Applications,1,Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made with unerring accuracy for comparatively little cost,Which option is correct about Introduction To Computer?,"Step2: READ a, b, c Step3: IF (a>b) and (a>c) Then print ‘A is Big' Step 4: Else, IF (b>c) Then print ‘B is Big'.","Char str1[]='ABI'; char str2[]='SHE'; strcpy(str1, str2); Where the contents of str2 are copied into the str1 and the contents of str1 is replaced with new one.",Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made with unerring accuracy for comparatively little cost.,C,Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made with unerring accuracy for comparatively little cost.,"The correct answer is supported by the chunk on Introduction To Computer, which states that millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made with unerring accuracy for comparatively little cost.",easy,low,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
3,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Speed,1,"Computer process data at an extremely fast rate - millions of instructions per second in few seconds, a computer can perform a huge task that a normal human being may take days or even years to complete",Which option is correct about Speed?,The element of an integer array a[5] are stored in continuous memory locations it is assumed that the starting memory location is 2000 each integer element requires 2 bytes Integer data types and their...,"Computer process data at an extremely fast rate - millions of instructions per second in few seconds, a computer can perform a huge task that a normal human being may take days or even...","Interpreter An interpreter analyses and executes the source code in line-byline Manner, without looking at the entire program Assembler Compared to all the types of programming languages, assembly Language is closest to the machine...",B,"Computer process data at an extremely fast rate - millions of instructions per second in few seconds, a computer can perform a huge task that a normal human being may take days or even...","The correct answer is supported by the chunk on Speed, which states that computer process data at an extremely fast rate - millions of instructions per second in few seconds, a computer can perform a huge task that a normal human being may take days or even...",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
4,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Accuracy,1,"Besides efficiency, computer are accurate as well The level of accuracy depends an the instructions and the type of machine being used",Which option is correct about Accuracy?,The get () function: This is used to accept a single character from the standard input to a character variable.,READ the value of year IF (year % 4 == 0) Then WRITE the year is leap year.,"Besides efficiency, computer are accurate as well The level of accuracy depends an the instructions and the type of machine being used.",C,"Besides efficiency, computer are accurate as well The level of accuracy depends an the instructions and the type of machine being used.","The correct answer is supported by the chunk on Accuracy, which states that besides efficiency, computer are accurate as well The level of accuracy depends an the instructions and the type of machine being used.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
5,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Diligence,1,Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration,Which option is correct about Diligence?,Inheritance is the process by which objects of one class acquire the properties of objects of another class it supports the concept of hierarchical classification.,Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration.,C is a popular general purpose programming language C language has been designed and developed by Dennis Ritchie at bell laboratories in 1972.,B,Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration.,"The correct answer is supported by the chunk on Diligence, which states that computer being a machine does not suffer form the human trailts of tiredness and lack of concentration.",easy,medium,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
6,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Reliability,1,"Reliability is the measurement of performance of a computer, which is measured against some predetermined standard for operation without any failure",Which statement best describes Reliability?,Empty parathensis after main are necessary The function mains is a starting point of every c program.,The string can be initialized as follows Char name[ ] = 'ABI'; The characters of the string are enclosed within a pair of double quotes.,"Reliability is the measurement of performance of a computer, which is measured against some predetermined standard for operation without any failure.",C,"Reliability is the measurement of performance of a computer, which is measured against some predetermined standard for operation without any failure.","The correct answer is supported by the chunk on Reliability, which states that reliability is the measurement of performance of a computer, which is measured against some predetermined standard for operation without any failure.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
7,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Storage capability,1,"The main memory of the computer is relatively small and it can hold only a certain amount of information, therefore, the data is stored on secondary storage devices such as magnetic tape or disks",Which statement best describes Storage capability?,Each character group must begin with a percentage sign ‘%' followed by conversion character as specified Var1 var2 varn - are the arguments or variable in which the data is going to be accepted...,"The identifier cout is a predefined object that represent the standard output steam in c++ Here, the standard output stream represents the screen.","The main memory of the computer is relatively small and it can hold only a certain amount of information, therefore, the data is stored on secondary storage devices such as magnetic tape or disks.",C,"The main memory of the computer is relatively small and it can hold only a certain amount of information, therefore, the data is stored on secondary storage devices such as magnetic tape or disks.","The correct answer is supported by the chunk on Storage capability, which states that the main memory of the computer is relatively small and it can hold only a certain amount of information, therefore, the data is stored on secondary storage devices such as magnetic tape or disks.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
8,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Versatility,1,"For example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this work is possible by changing the program",Which statement best describes Versatility?,"For example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this...","Integrated circuit replaced several individually wired transistor This development made computers smaller in size, reliable and efficient Instead of punched cards and printouts, users interacted with third generation computers through keyboards and monitors and...","It involves not only typing, but also checking the spelling and grammar of the text and arranging it correctly on a page.",A,"For example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this...","The correct answer is supported by the chunk on Versatility, which states that for example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this...",hard,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
9,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Resource sharing,1,"Apart from device sharing data and information can also be shared among group of computers, thus creating a large information and knowledge base",Which option is correct about Resource sharing?,Every main() in c++ should end with a return . statement; Otherwise a warning or an error might occur.,"Apart from device sharing data and information can also be shared among group of computers, thus creating a large information and knowledge base.","These functions and variable are collectively called members They are usually grouped under two sections, names, private and public The keywords private and public are known as visibility labels.",B,"Apart from device sharing data and information can also be shared among group of computers, thus creating a large information and knowledge base.","The correct answer is supported by the chunk on Resource sharing, which states that apart from device sharing data and information can also be shared among group of computers, thus creating a large information and knowledge base.",medium,high,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
10,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Evolution Of Computers,,1,"The real beginnings of computers as we know them today, however, lay with an English mathematics professor, Charles Babbage",Which option is correct about Evolution Of Computers?,"The real beginnings of computers as we know them today, however, lay with an English mathematics professor, Charles Babbage.","For example: A + B, where ‘+' is a operator and ‘A', ‘B' are the operand.","Assembler Compared to all the types of programming languages, assembly Language is closest to the machine code.",A,"The real beginnings of computers as we know them today, however, lay with an English mathematics professor, Charles Babbage.","The correct answer is supported by the chunk on Evolution Of Computers, which states that the real beginnings of computers as we know them today, however, lay with an English mathematics professor, Charles Babbage.",easy,low,good,Three-option MCQ aligned to the important-topic-first quiz flow; distractors are drawn from other grounded chunks.
