id,source_type,document_title,subject,chapter_title,section_heading,subtopic,chunk_index,chunk_text,key_points,flashcards_json,summary_style,difficulty_level,quality_label,notes
1,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,Definition,1,"A computer is an electronic machine, devised for performing calculations and controlling operations that can be expressed either in logical or numerical terms",A computer is an electronic machine | Controlling operations that can be expressed either in logical or numerical terms,"[{""front"": ""What is a computer?"", ""back"": ""A computer is an electronic machine""}, {""front"": ""What should a student remember about Introduction To Computer?"", ""back"": ""Controlling operations that can be expressed either in logical or numerical terms""}]",study_friendly,medium,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
2,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,Applications,1,Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made with unerring accuracy for comparatively little cost,Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made,"[{""front"": ""What should a student remember about Introduction To Computer?"", ""back"": ""Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made""}]",revision_ready,easy,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
3,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Speed,1,"Computer process data at an extremely fast rate - millions of instructions per second in few seconds, a computer can perform a huge task that a normal human being may take days or even years to complete",Computer process data at an extremely fast rate - millions of instructions per second in few seconds | A computer can perform a huge task that a normal human being may take days or even years,"[{""front"": ""What should a student remember about Speed?"", ""back"": ""Computer process data at an extremely fast rate - millions of instructions per second in few seconds""}, {""front"": ""What should a student remember about Speed?"", ""back"": ""A computer can perform a huge task that a normal human being may take days or even years""}]",concise,hard,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
4,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Accuracy,1,"Besides efficiency, computer are accurate as well The level of accuracy depends an the instructions and the type of machine being used",Computer are accurate as well The level of accuracy depends an the instructions | The type of machine being used,"[{""front"": ""What should a student remember about Accuracy?"", ""back"": ""Computer are accurate as well The level of accuracy depends an the instructions""}, {""front"": ""What is a key fact about Accuracy?"", ""back"": ""The type of machine being used""}]",plain,medium,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
5,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Diligence,1,Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration,Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration,"[{""front"": ""What is a key fact about Diligence?"", ""back"": ""Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration""}]",study_friendly,easy,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
6,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Reliability,1,"Reliability is the measurement of performance of a computer, which is measured against some predetermined standard for operation without any failure",Reliability is the measurement of performance of a computer | Which is measured against some predetermined standard for operation without any failure,"[{""front"": ""What is a key fact about Reliability?"", ""back"": ""Reliability is the measurement of performance of a computer""}, {""front"": ""Which point best describes Reliability?"", ""back"": ""Which is measured against some predetermined standard for operation without any failure""}]",revision_ready,medium,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
7,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Storage capability,1,"The main memory of the computer is relatively small and it can hold only a certain amount of information, therefore, the data is stored on secondary storage devices such as magnetic tape or disks",Storage capability is a key idea in Characteristics Of Computer | The main memory of the computer is relatively small | It can hold only a certain amount of information | The data is stored on secondary storage devices such as magnetic tape or disks,"[{""front"": ""Which point best describes Storage capability?"", ""back"": ""Storage capability is a key idea in Characteristics Of Computer""}, {""front"": ""What is the main memory of the computer?"", ""back"": ""The main memory of the computer is relatively small""}, {""front"": ""Which point best describes Storage capability?"", ""back"": ""It can hold only a certain amount of information""}]",concise,medium,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
8,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Versatility,1,"For example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this work is possible by changing the program",At one moment it can be used to draft a letter | Another moment it can be used to play music an in between | One can print a document as well All this work is possible by changing the program,"[{""front"": ""What is Versatility used for?"", ""back"": ""At one moment it can be used to draft a letter""}, {""front"": ""What is Versatility used for?"", ""back"": ""Another moment it can be used to play music an in between""}, {""front"": ""What is a key fact about Versatility?"", ""back"": ""One can print a document as well All this work is possible by changing the program""}]",plain,hard,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
9,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Resource sharing,1,"Apart from device sharing data and information can also be shared among group of computers, thus creating a large information and knowledge base",Resource sharing is a key idea in Characteristics Of Computer | Apart from device sharing data | Information can also be shared among group of computers | Creating a large information,"[{""front"": ""Which point best describes Resource sharing?"", ""back"": ""Resource sharing is a key idea in Characteristics Of Computer""}, {""front"": ""What is a key fact about Resource sharing?"", ""back"": ""Apart from device sharing data""}, {""front"": ""Which point best describes Resource sharing?"", ""back"": ""Information can also be shared among group of computers""}]",study_friendly,medium,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
10,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Evolution Of Computers,,1,"The real beginnings of computers as we know them today, however, lay with an English mathematics professor, Charles Babbage",The real beginnings of computers as we know them today | Lay with an English mathematics professor,"[{""front"": ""What is a key fact about Evolution Of Computers?"", ""back"": ""The real beginnings of computers as we know them today""}, {""front"": ""Which point best describes Evolution Of Computers?"", ""back"": ""Lay with an English mathematics professor""}]",revision_ready,easy,good,"Key points and flashcards are short, factual, and revision-friendly so they can map directly to the flashcard UI."
