id,source_type,document_title,subject,chapter_title,section_heading,subtopic,chunk_index,chunk_text,importance_label,importance_score,importance_reason,exam_priority,question_worthy,summary_worthy,quality_label,notes
1,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,Definition,1,"A computer is an electronic machine, devised for performing calculations and controlling operations that can be expressed either in logical or numerical terms",high,3,This chunk is important because it includes a direct definition or core statement.,high,yes,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
2,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Introduction,Applications,1,Millions of complex calculations can be done in a mere fraction of time Difficult decisions can be made with unerring accuracy for comparatively little cost,low,1,This chunk is lower priority because it mainly captures a useful concept from the chapter.,low,no,no,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
3,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Speed,1,"Computer process data at an extremely fast rate - millions of instructions per second in few seconds, a computer can perform a huge task that a normal human being may take days or even years to complete",very_high,4,This chunk is very important because it belongs to a high-value revision section.,high,yes,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
4,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Accuracy,1,"Besides efficiency, computer are accurate as well The level of accuracy depends an the instructions and the type of machine being used",high,3,This chunk is important because it belongs to a high-value revision section.,high,yes,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
5,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Diligence,1,Computer being a machine does not suffer form the human trailts of tiredness and lack of concentration,medium,2,This chunk is moderately important because it belongs to a high-value revision section.,medium,no,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
6,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Reliability,1,"Reliability is the measurement of performance of a computer, which is measured against some predetermined standard for operation without any failure",high,3,This chunk is important because it includes a direct definition or core statement and belongs to a high-value revision section.,high,yes,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
7,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Storage capability,1,"The main memory of the computer is relatively small and it can hold only a certain amount of information, therefore, the data is stored on secondary storage devices such as magnetic tape or disks",high,3,This chunk is important because it includes a direct definition or core statement and belongs to a high-value revision section.,high,yes,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
8,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Versatility,1,"For example, at one moment it can be used to draft a letter, another moment it can be used to play music an in between, one can print a document as well All this work is possible by changing the program",very_high,4,"This chunk is very important because it includes a direct definition or core statement and contains exam-ready facts, examples, or syntax details and belongs to a high-value revision section.",high,yes,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
9,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Characteristics Of Computer,Resource sharing,1,"Apart from device sharing data and information can also be shared among group of computers, thus creating a large information and knowledge base",high,3,This chunk is important because it belongs to a high-value revision section.,high,yes,yes,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
10,pdf_chunk,BCS101 - FOCP,Fundamentals of Computing and Programming,Introduction To Computer,Evolution Of Computers,,1,"The real beginnings of computers as we know them today, however, lay with an English mathematics professor, Charles Babbage",low,1,This chunk is lower priority because it mainly captures a useful concept from the chapter.,low,no,no,good,Hybrid-importance style target for the recommended flow; suitable for ranking topics and subtopics before quiz generation.
